-------Based on SHORE features 1st minute---------																																																																																				
"['S1_Angry_avg', 'S1_ Happy_avg', 'S1_ MouthOpen_avg', 'S1_ Sad_avg', 'S1_ Score_avg', 'S1_ Surprised_avg', 'S1_Angry_var', 'S1_ Happy_var', 'S1_ MouthOpen_var', 'S1_ Sad_var', 'S1_ Score_var', 'S1_ Surprised_var']"																																																																																				
  	S1_Angry_avg 	S1_ Happy_avg 	S1_ MouthOpen_avg 	S1_ Sad_avg 	S1_ Surprised_avg 	S1_Angry_var 	S1_ Happy_var 	S1_ MouthOpen_var 	S1_ Sad_var 	S1_ Surprised_var 																																																																										
"['S2_ AU01_r_avg', 'S2_ AU02_r_avg', 'S2_ AU04_r_avg', 'S2_ AU05_r_avg', 'S2_ AU06_r_avg', 'S2_ AU07_r_avg', 'S2_ AU09_r_avg', 'S2_ AU10_r_avg', 'S2_ AU12_r_avg', 'S2_ AU14_r_avg', 'S2_ AU15_r_avg', 'S2_ AU17_r_avg', 'S2_ AU20_r_avg', 'S2_ AU23_r_avg', 'S2_ AU25_r_avg', 'S2_ AU26_r_avg', 'S2_ AU45_r_avg', 'S2_ AU01_c_avg', 'S2_ AU02_c_avg', 'S2_ AU04_c_avg', 'S2_ AU05_c_avg', 'S2_ AU06_c_avg', 'S2_ AU07_c_avg', 'S2_ AU09_c_avg', 'S2_ AU10_c_avg', 'S2_ AU12_c_avg', 'S2_ AU14_c_avg', 'S2_ AU15_c_avg', 'S2_ AU17_c_avg', 'S2_ AU20_c_avg', 'S2_ AU23_c_avg', 'S2_ AU25_c_avg', 'S2_ AU26_c_avg', 'S2_ AU28_c_avg', 'S2_ AU45_c_avg', 'S2_abs_d_pose_Rx_avg', 'S2_ gaze_0_x_var', 'S2_ gaze_0_y_var', 'S2_ gaze_0_z_var', 'S2_ gaze_1_x_var', 'S2_ gaze_1_y_var', 'S2_ gaze_1_z_var', 'S2_ pose_Tx_var', 'S2_ pose_Ty_var', 'S2_ pose_Tz_var', 'S2_ pose_Rx_var', 'S2_ pose_Ry_var', 'S2_ pose_Rz_var', 'S2_ AU01_r_var', 'S2_ AU02_r_var', 'S2_ AU04_r_var', 'S2_ AU05_r_var', 'S2_ AU06_r_var', 'S2_ AU07_r_var', 'S2_ AU09_r_var', 'S2_ AU10_r_var', 'S2_ AU12_r_var', 'S2_ AU14_r_var', 'S2_ AU15_r_var', 'S2_ AU17_r_var', 'S2_ AU20_r_var', 'S2_ AU23_r_var', 'S2_ AU25_r_var', 'S2_ AU26_r_var', 'S2_ AU45_r_var', 'S2_ AU01_c_var', 'S2_ AU02_c_var', 'S2_ AU04_c_var', 'S2_ AU05_c_var', 'S2_ AU06_c_var', 'S2_ AU07_c_var', 'S2_ AU09_c_var', 'S2_ AU10_c_var', 'S2_ AU12_c_var', 'S2_ AU14_c_var', 'S2_ AU15_c_var', 'S2_ AU17_c_var', 'S2_ AU20_c_var', 'S2_ AU23_c_var', 'S2_ AU25_c_var', 'S2_ AU26_c_var', 'S2_ AU28_c_var', 'S2_ AU45_c_var', 'S2_abs_d_pose_Rx_var']"																																																																																				
  	S2_ AU01_r_avg 	S2_ AU02_r_avg 	S2_ AU04_r_avg 	S2_ AU05_r_avg 	S2_ AU06_r_avg 	S2_ AU07_r_avg 	S2_ AU09_r_avg 	S2_ AU10_r_avg 	S2_ AU12_r_avg 	S2_ AU14_r_avg 	S2_ AU15_r_avg 	S2_ AU17_r_avg 	S2_ AU20_r_avg 	S2_ AU23_r_avg 	S2_ AU25_r_avg 	S2_ AU26_r_avg 	S2_ AU45_r_avg 	S2_ AU01_c_avg 	S2_ AU02_c_avg 	S2_ AU04_c_avg 	S2_ AU05_c_avg 	S2_ AU06_c_avg 	S2_ AU07_c_avg 	S2_ AU09_c_avg 	S2_ AU10_c_avg 	S2_ AU12_c_avg 	S2_ AU14_c_avg 	S2_ AU15_c_avg 	S2_ AU17_c_avg 	S2_ AU20_c_avg 	S2_ AU23_c_avg 	S2_ AU25_c_avg 	S2_ AU26_c_avg 	S2_ AU28_c_avg 	S2_ AU45_c_avg 	S2_abs_d_pose_Rx_avg 	S2_ gaze_0_x_var 	S2_ gaze_0_y_var 	S2_ gaze_0_z_var 	S2_ gaze_1_x_var 	S2_ gaze_1_y_var 	S2_ gaze_1_z_var 	S2_ pose_Tx_var 	S2_ pose_Ty_var 	S2_ pose_Tz_var 	S2_ pose_Rx_var 	S2_ pose_Ry_var 	S2_ pose_Rz_var 	S2_ AU01_r_var 	S2_ AU02_r_var 	S2_ AU04_r_var 	S2_ AU05_r_var 	S2_ AU06_r_var 	S2_ AU07_r_var 	S2_ AU09_r_var 	S2_ AU10_r_var 	S2_ AU12_r_var 	S2_ AU14_r_var 	S2_ AU15_r_var 	S2_ AU17_r_var 	S2_ AU20_r_var 	S2_ AU23_r_var 	S2_ AU25_r_var 	S2_ AU26_r_var 	S2_ AU45_r_var 	S2_ AU01_c_var 	S2_ AU02_c_var 	S2_ AU04_c_var 	S2_ AU05_c_var 	S2_ AU06_c_var 	S2_ AU07_c_var 	S2_ AU09_c_var 	S2_ AU10_c_var 	S2_ AU12_c_var 	S2_ AU14_c_var 	S2_ AU15_c_var 	S2_ AU17_c_var 	S2_ AU20_c_var 	S2_ AU23_c_var 	S2_ AU25_c_var 	S2_ AU26_c_var 	S2_ AU28_c_var 	S2_ AU45_c_var 	S2_abs_d_pose_Rx_var 
csrsconv 	-0.248641532	0.122331796	0	0	0	0	0.376092103	-0.203244278	0	0	0	0	0	0	0	0	-0.245331822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.302873291	0.109173262	0	0	0	0	0	0	0	0	0	0	0	0	0	0.179243585	-0.195493519	0	0.149422103	0.134174795	0	0	0	0.301590324	0	0	0	0	0	0.168054348	0	0	0	-0.310584752	0	-0.169089681	0.136554226	0	0	0	0	0	0.206323252	0	0	0
csrskill 	0	0	0	0	0	-0.1803174	0	-0.342832013	0	-0.124158169	0	0	0	0.266602099	0	0	-0.25499273	-0.563458567	0.130886262	-0.106033587	0	0	0	0	0	0	0.531390596	0	0	0	-0.175346514	-0.108888709	-0.966179991	0	0	0	0	0.273844752	0	0	0	-0.26891647	0	0	0	0	0	0	0	0	0.319076717	0	0.083042652	0.446382039	0	0	0	0	0	0	0	0	0.297676213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.180577735	0	0	0
csrscomp 	0	0.185828406	0	0.190563345	0	-0.151015596	0	0	0	0	0	0	0.02761927	0.304119625	0	0	0	0	0	0	0	0	0	0	0	0	0.294122626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.174540462	0	0	0.213827663	0	0	0	0	0	0.414571348	0	0	0	0	0	0	0	0	0.194042927	0	0	-0.464586597	-0.057221578	0	-0.166408647	-0.233933508	0	0	0.100534746	0	0	0	0	0	0	0	0.072628557	0	0	0
csrsappr 	0	0	0	0	0	-0.175270928	0	0	0	0	0	0.081313166	0	0.155421584	0	0	0	-0.446894045	0	0	0	0	0	0	0	0	0.257131146	0	0	0	-0.102081445	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.10097089	0	0.159159207	0	0.159181256	0	0	0	0.071179552	0.268680601	-0.177240691	0	0	0.086222139	0	0	0	0	0.096824305	0	0	0	0	0	0	-0.164303232	0	0	0.10802368	0	0	0	0	0	0	0	0.101280241	0	0	0
csrseffect 	0	0	0	0.485202341	-0.031309893	0	0	0	0	0	0	0	0	0.41243277	0	0	0	0	0	0	0	0	0	-0.154193661	-0.164372905	0	0.335423392	0	0	0	-0.070935445	0	-0.706848874	0	-0.123528529	0	0	0	0	0	0	0	0	0	0	0	0	0.210146455	0	0	0	-0.375009696	0	0.343760279	0	0	0	0	0	0	0	0	0	0	0	-0.374130249	0.01196832	0	0	-0.119603382	0.041334652	0	0	0	0	0	0	-0.098161777	0	0	0.84617505	0	0	0
csvoclcn 	0	0	0	0.258743915	0	0	0	0	0	0	0.235054614	0	0	0	0.43528058	0	0	0	0	0	0	0	0	0	0	0	0.301242293	0	0	0	0	0	0	-0.104056794	0	0	0	0	0	0	0	0	0	-0.088754759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.083694333	0	0	0	0	0	-0.13471984	-0.188188115	0	0	0	-0.137835442	0	0	0	0	0	0	0	0	0	0
csnoddin 	-0.568753618	0	0.171439753	0.133532834	0	-0.153642246	-0.084217665	-0.263483179	0	0	0	0	0	0	0	0	0	0	-0.114880078	0	0	0	0	-0.165488065	0	0	0.440091002	0	0	0	-0.144981801	0	-0.6236889	0	-0.171751684	0	0	0	0	0	0	0	0	0	0	0	0	0	0.365070634	0	0	0	0	0.508546677	0	0	0.115532393	0	0	0	0	0.225716942	0	0	0	0	0	0	0	-0.150117717	0	0	0	0	0	0	0	0	0	0.060529174	0.722647785	0	0	0
csgestur 	0	0	0	0.675381543	0	0	0	0	0	0	0.127862867	0	0	0.30337149	0	0	0	-0.099680436	0	0	0	-0.099025919	0	-0.171181138	0	0	0.382916709	0	0	0	-0.117877721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.554823895	0	0.348898673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.214593844	0	0	0	-0.091570763	0	0	0	0	0	0	0.132900424	0	0	0
cshumor 	0	0	0.318821461	0.262720531	0	0	0	0	0	0	0	0	0	0.327734207	0	0	0	-0.267580512	0	0	0	0	0	0	0	0	0.422441205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.051980766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11800955	0	0.114587374	0	0	0	0	0.165925005	0	0	0.274010257	-0.281533888	0	0
cssmilin 	-0.334770024	0.25756935	0	0.320059901	0	0	0	0	0	0	0	-0.055601185	0.210495081	0	0	0.276543347	-0.334347725	0	0	0	0	0	0.312588706	-0.155380776	0	0	0.326620562	0	0	0	-0.081751067	-0.554632117	0.046190788	0	0	0	0	0	0	0	0	0	0	0	-0.164244925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.114342265	0.248124122	0	0	0	0	0	0	-0.224753961	0	0	0	0	0.229555009	0	0	0	0	0.552181498	0	0	0	0
csquestn 	0	0	0	0.234007088	0	0	0	0	0	0	0	-0.095875339	0	0.514471287	0	0	0	-0.27930993	0	0	0.111844839	-0.154196725	0.302378359	-0.100549334	0	0	0.710081328	0.255470869	0	0	-0.162709816	-0.64174792	-0.02375196	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.258031546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.143712143	0.244220889	-0.219753933	0	0	0	0	0	0	0	0.140256409	0	-0.236321462	0	0	0	0	0.427218944	0	0	0	0
csstartn 	0	0	0	0.830483933	0	-0.070377064	0.084273967	-0.255450546	0	-0.163239301	0	0	0	0.379282998	0	0	-0.40309601	-0.377736804	0.643770651	-0.211011895	0	-0.228201277	0	0	0	0	0.759875436	0	0	0	-0.311024627	0	0.152027523	0	0	0	0	0	0	0	0	0	0	0	0	0.043113564	0	0	0	0	0.233687389	-0.593046658	0	0.701654451	-0.225293867	0	0	0	0	-0.083432398	0	0	0	0	0	0	-0.756591432	0	0	0	0	0	0	-0.128990259	0	0	0.118393433	0	0	0	0	0	0	0
cspostur 	0	0	0	0.397248861	0	0	0	0	0	0	0	0	0	0.305549526	0	0.360666004	0	-0.231048518	0	0	0.139171164	-0.201087476	0	-0.202938077	0	-0.24221737	0.573514811	0.35134438	0	0	0	0	0	0	-0.075157941	0	-0.01223521	-0.000245251	0	0	0	-0.042328274	0	0	0	0	-0.171064171	0	0	0	0	-0.356396035	0	0.303328305	0	0	0	0	0	0.089236472	-0.134658708	0	0	-0.261076554	0	0	0	0	0	-0.268278013	0	0	0	0	-0.069635777	0	0	0	0	0	0	0	0	0
cseyecon 	-0.161773987	0	0.279709185	0.577947361	0	0	0	0	0	0	0	0	0	0.379421438	0	0	0	-0.18661949	0	0	0	0	-0.180971703	-0.213312451	-0.281885971	0	0.296802258	0	0	-0.103907828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.000508695	0	0	0	0	-0.172055026	-0.433700455	0	0.501822056	0	0	0.239752664	0	0	0	0	0	0	-0.123470366	0	0	0	0	0	-0.291758512	0.034306231	0	0	0	0	0	0.086303798	0	0	0	0	0	0	0
Raliked 	0	0	0	0.149441485	0	0	0.074835085	0	0	0	0	0	0	0	0	0.19895749	0	-0.254830681	0	0	0	0	0.234563786	-0.183216324	-0.266324429	0	0	0	0	0	0	-0.082401322	0.259883939	-0.122915265	-0.263933288	0	0	0	-0.187560861	0	0	0	0	-0.194170967	0	0	0	0	0	0	0	0	0	0	0	0	0.256712565	0	0	0	0	0.334645722	0	0	0	0	0	0.149676799	0	0	-0.188678616	0	0	-0.181727882	0.08472623	0	0	0.066537013	0	0	0	0	0	0
Raattrac 	0	0.196646933	0.081415798	0	0	0	0	0	0	0	0	0	0	0	0	0.141884874	0	-0.502607437	0.147568506	0	0	0	0	0	-0.230117061	0	0	0	0	0	0	0	0	0	-0.132734657	0	0	0	0	0	0	-0.070907454	0	0	0	0	-0.093066482	0.361355776	0	0	0	0	0	0	0	0	0	0	0	0	0.163007132	0	0.252302091	0	0	0	0	0	0	-0.328868568	0.175273543	0	0	0	0	0	0	0	0	0	0	0	0	0
Rayessin 	0	0	0.37389041	0	0	0	0.676016906	-0.313398627	0	0	0	0	0	0	-0.714536579	0	0	0.083215439	0	0	0	0	0	0	0	0.157445081	0	0	0	0	0	0	-1.115931213	0	0	0	-0.1573945	0	-0.210995281	0	0	0	0	0	0	0	0	0.22848117	0	0	0	0	0	0	-0.396734468	0	0.394878836	0	0	0	0.155789066	0.141165367	0.658968273	0	0	-0.433560799	0	0.212394745	0	0	0	-0.266387147	0	-0.198361166	0	0	0	0	0	0	1.376138516	0	-0.129853452	0
Raconect 	0	0	0	0	0	0	0	-0.217646212	-0.173149865	0	0	0	0	0	0	0	-0.289318286	0	0	0.143928604	0	0	0	-0.285842223	0	0	0.316569076	0	0	0	-0.17684604	0	0	0	0	0	0	0	0	0	0	-0.147372899	0	0	0	0	0	0	0	0	0	0	0.383160032	0	0	0	0	0	0	0	0	0.248472171	0	0	0	0	0	0	0	0	0	0	0	0	0.214006779	0	0	0	0	0	0.269246823	0	0	0
Racommon 	0	0	0.237630531	0	0	0	0	-0.365043105	0	0	0	0	0	0.385090291	0	0	0	-0.425905087	0	-0.105664489	0	0	0.183057153	-0.228946319	0	0	0	0	0	0	0	-0.228878093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.254795779	0	0.067925513	0	0	0.275751059	0	0	0	0.144808902	0	0	0	0	-0.037479218	0.314226095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.128267982	0	0.145977372	0	0	0
Rasimlar 	-0.960720678	0	0	0	0	-0.069032082	0	0	0	0	0	-0.082297527	0	0.176390606	0	0.042634214	0	0	0	0	0	0	0	-0.176774446	-0.119107186	0.120500848	0	0	0	0.113827212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.228975763	0.674270656	0.148002701	0	0	0	0	0	0	0	0	0	0	0	0	0.337056727	0	-0.180976227	0	0	0	0	-0.206390872	0.105180797	0	0	0	0.120910334	0	0	0	0	0	0.119312213	0	0	0
Rasmooth 	0	0	0	0.647967213	0	-0.281207278	0	0	0	0	0	0	0.27914002	0	0	0	-0.150030019	0.012732652	0	0	0	0	0.050385624	-0.390605921	0	0	0.389282753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.204536886	-0.268767275	0	0	0.23513293	0	0	0	-0.457465649	0	0.508394488	0.152162629	0	0	0	0	0	-0.087626422	0.228559147	0.172389278	0	0	-0.458876725	0	0	-0.08168193	-0.220747739	0	0	0	0	0	0	0	0	0	0	0.101222361	0	0	0
Ra_avg	-0.241789946	0.13725282	0	0.095247691	0	-0.076600114	0.148614699	0	-0.17843342	0	0	0	0	0	0	0.211923807	0	0	-0.088867552	0	0	0	0.195335659	-0.309514328	0	0	0	0	0	0	0.033467568	-0.285788445	0.134152575	0	0	0	0	0	-0.16144231	0	0	0	0	0	-0.192603983	0	0	0.139531654	0	0	0	0	0.153608355	0	0	0	0.274973586	0	0	0	0	0.286017622	0	0	0	0	0	0	0	-0.317526375	-0.051932843	0	0.065225291	0	0.095391292	0	0	0	0	0.248496862	0	0	-0.193232541	0
 																																																																																				
-------Openface AU features of last ---------																																																																																				
"['S3_ AU01_r_avg', 'S3_ AU02_r_avg', 'S3_ AU04_r_avg', 'S3_ AU05_r_avg', 'S3_ AU06_r_avg', 'S3_ AU07_r_avg', 'S3_ AU09_r_avg', 'S3_ AU10_r_avg', 'S3_ AU12_r_avg', 'S3_ AU14_r_avg', 'S3_ AU15_r_avg', 'S3_ AU17_r_avg', 'S3_ AU20_r_avg', 'S3_ AU23_r_avg', 'S3_ AU25_r_avg', 'S3_ AU26_r_avg', 'S3_ AU45_r_avg', 'S3_ AU01_c_avg', 'S3_ AU02_c_avg', 'S3_ AU04_c_avg', 'S3_ AU05_c_avg', 'S3_ AU06_c_avg', 'S3_ AU07_c_avg', 'S3_ AU09_c_avg', 'S3_ AU10_c_avg', 'S3_ AU12_c_avg', 'S3_ AU14_c_avg', 'S3_ AU15_c_avg', 'S3_ AU17_c_avg', 'S3_ AU20_c_avg', 'S3_ AU23_c_avg', 'S3_ AU25_c_avg', 'S3_ AU26_c_avg', 'S3_ AU28_c_avg', 'S3_ AU45_c_avg', 'S3_abs_d_pose_Rx_avg', 'S3_ gaze_0_x_var', 'S3_ gaze_0_y_var', 'S3_ gaze_0_z_var', 'S3_ gaze_1_x_var', 'S3_ gaze_1_y_var', 'S3_ gaze_1_z_var', 'S3_ pose_Tx_var', 'S3_ pose_Ty_var', 'S3_ pose_Tz_var', 'S3_ pose_Rx_var', 'S3_ pose_Ry_var', 'S3_ pose_Rz_var', 'S3_ AU01_r_var', 'S3_ AU02_r_var', 'S3_ AU04_r_var', 'S3_ AU05_r_var', 'S3_ AU06_r_var', 'S3_ AU07_r_var', 'S3_ AU09_r_var', 'S3_ AU10_r_var', 'S3_ AU12_r_var', 'S3_ AU14_r_var', 'S3_ AU15_r_var', 'S3_ AU17_r_var', 'S3_ AU20_r_var', 'S3_ AU23_r_var', 'S3_ AU25_r_var', 'S3_ AU26_r_var', 'S3_ AU45_r_var', 'S3_ AU01_c_var', 'S3_ AU02_c_var', 'S3_ AU04_c_var', 'S3_ AU05_c_var', 'S3_ AU06_c_var', 'S3_ AU07_c_var', 'S3_ AU09_c_var', 'S3_ AU10_c_var', 'S3_ AU12_c_var', 'S3_ AU14_c_var', 'S3_ AU15_c_var', 'S3_ AU17_c_var', 'S3_ AU20_c_var', 'S3_ AU23_c_var', 'S3_ AU25_c_var', 'S3_ AU26_c_var', 'S3_ AU28_c_var', 'S3_ AU45_c_var', 'S3_abs_d_pose_Rx_var']"																																																																																				
  	S3_ AU01_r_avg 	S3_ AU02_r_avg 	S3_ AU04_r_avg 	S3_ AU05_r_avg 	S3_ AU06_r_avg 	S3_ AU07_r_avg 	S3_ AU09_r_avg 	S3_ AU10_r_avg 	S3_ AU12_r_avg 	S3_ AU14_r_avg 	S3_ AU15_r_avg 	S3_ AU17_r_avg 	S3_ AU20_r_avg 	S3_ AU23_r_avg 	S3_ AU25_r_avg 	S3_ AU26_r_avg 	S3_ AU45_r_avg 	S3_ AU01_c_avg 	S3_ AU02_c_avg 	S3_ AU04_c_avg 	S3_ AU05_c_avg 	S3_ AU06_c_avg 	S3_ AU07_c_avg 	S3_ AU09_c_avg 	S3_ AU10_c_avg 	S3_ AU12_c_avg 	S3_ AU14_c_avg 	S3_ AU15_c_avg 	S3_ AU17_c_avg 	S3_ AU20_c_avg 	S3_ AU23_c_avg 	S3_ AU25_c_avg 	S3_ AU26_c_avg 	S3_ AU28_c_avg 	S3_ AU45_c_avg 	S3_abs_d_pose_Rx_avg 	S3_ gaze_0_x_var 	S3_ gaze_0_y_var 	S3_ gaze_0_z_var 	S3_ gaze_1_x_var 	S3_ gaze_1_y_var 	S3_ gaze_1_z_var 	S3_ pose_Tx_var 	S3_ pose_Ty_var 	S3_ pose_Tz_var 	S3_ pose_Rx_var 	S3_ pose_Ry_var 	S3_ pose_Rz_var 	S3_ AU01_r_var 	S3_ AU02_r_var 	S3_ AU04_r_var 	S3_ AU05_r_var 	S3_ AU06_r_var 	S3_ AU07_r_var 	S3_ AU09_r_var 	S3_ AU10_r_var 	S3_ AU12_r_var 	S3_ AU14_r_var 	S3_ AU15_r_var 	S3_ AU17_r_var 	S3_ AU20_r_var 	S3_ AU23_r_var 	S3_ AU25_r_var 	S3_ AU26_r_var 	S3_ AU45_r_var 	S3_ AU01_c_var 	S3_ AU02_c_var 	S3_ AU04_c_var 	S3_ AU05_c_var 	S3_ AU06_c_var 	S3_ AU07_c_var 	S3_ AU09_c_var 	S3_ AU10_c_var 	S3_ AU12_c_var 	S3_ AU14_c_var 	S3_ AU15_c_var 	S3_ AU17_c_var 	S3_ AU20_c_var 	S3_ AU23_c_var 	S3_ AU25_c_var 	S3_ AU26_c_var 	S3_ AU28_c_var 	S3_ AU45_c_var 	S3_abs_d_pose_Rx_var 
csrsconv 	0	0	0	0	0	0	0	-0.202801429	0	0.124401353	0	0	0	0.242504004	0	0	0.229380097	0	0.158869882	0	0	0	0.047671765	-0.345104007	0	0	0	0	0	0	0	0	0.384517266	0	0	0	0	0	0	0	-0.083003572	0	0	-0.115067529	0	0	0	0	0.138120561	0	0	0	0.197372449	0	0	0	0.154637197	0	0	0	0.123119212	0	0	0	-0.340852576	-0.400850823	0	0.117714124	0.077821938	-0.062430494	0	0	0.110387964	0	0	-0.074010015	0	0	0	0	0	0	0	0
csrskill 	0	0.124820418	-0.169087795	0	-0.386887433	0	0	0	0	0	0	0	0.184020107	0	0	0	0.12887187	0	0	0	0	0.717676858	0	-0.806102792	0	0	0	0	0	0	0	-0.360391937	-0.332286509	0	0	0	0	0	-0.090373243	0	0	0	0	0	0	-0.23697874	0	0	0	0	0.18807291	0	0	0	0	0	0	0	0	0	0	0.220302593	0.38887553	0	-0.315842	-0.163395444	0	0	0	-0.281513373	0	0.587018205	0.119900354	0	0	0	0	0	0	0	0.808091498	0	0	0
csrscomp 	0	-0.023068156	0	0	0	0	0	0	0	0	-0.144658553	0	0	0.162560024	0	0	0	0	0	0	0	0.123385463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.057340922	0	-0.107837877	0	0	0	0	0.142544923	0	0	0	0	0	0	0	0.218871657	0	0.251039993	0	0	0	0	0	0	-0.180547571	0	0.162869508	-0.084213645	0	0	-0.228754151	0.167093521	0	0	0	0	0	0	0	0.359017863	0	0	0
csrsappr 	0.24575051	0	0	0	-0.280266295	-0.207224738	0	0	0.219220617	-0.047427836	0	0	0	-0.030069226	0	0	0	-0.021361438	0	0	0	0.552328816	0	-2.193540322	-0.133084785	0	0	0	0	-0.581599676	-0.089052286	0	0.190974308	0	0	0	0	-0.082410216	0	0	-0.184857098	0	0	0	0	0	0	0	0.200490215	0	0	0	-0.181344059	0	0.283250059	0	0	0	0	0	0.167140473	0	0.072812661	0	0	-0.333667755	0	0.084288268	0	0	0	1.744957721	0	-0.107961952	0	0	0	0.640254159	0.076356718	0	0	0.118990414	-0.155969605	0
csrseffect 	0.395666552	-0.143788484	0	0	-0.163409965	0.026817016	0	-0.112991397	0	0	0	0	0	0	0	0	0.183498284	0	0	0	0	0.233403995	0	-0.260233544	0	0	0.115862466	0	0	0	-0.136008563	0	0	0	0.267493945	0	0	0.133280599	0	0	0	0	0.077464161	0	0	0	0	0	0	0	0	0	0	0	-0.136338798	0	0.084522994	0	0.158191986	-0.036299959	0	0	0	0	-0.215759117	-0.478157511	0.131956956	0.14848775	0	0	0	0	0	0.088780215	-0.017262328	0	0	0	0	0	0.43652953	0	-0.443310854	0
csvoclcn 	0	0	0	0	0	0	0	0	0	0	0	0	0	0.136024126	0	0	0	0	0	0	0	0	0	0	0	0	0.339814198	0	0	0	0	0	0.298389549	-0.143338927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.155328692	0	0	-0.048285819	0	0	-0.08192695	0	0	-0.111195444	0.170823509	0	0	0	0	0	0	-0.145756844	0	0.075320771	-0.124271687	0	0	0	0.18815059	0	0	0	0	0	0	0	0	0	0	0
csnoddin 	0	0	0	0	0	-0.126480747	0	0	0	0	0	0	0.148211523	0	0	0	0	0.146649435	0	0	0	0.090061559	0	0	0	0	0.362626246	-0.164974374	0	0	-0.100287384	0	0.294294424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.275041547	-0.27006289	0	0	0	0	0	0	0.104120675	0	0	0	-0.294051643	0	0	0	-0.093083309	0	0	0.199425195	0	0	0	0	0	0	0	0	0	0	0
csgestur 	0	0	0	0	0	0.114115199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.17897713	0	0	0.264346784	0	0	0	-0.099893273	0	-0.178386192	0	0	0	0	0.305164953	0	0	-0.24293874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.112273881	0	0.185193701	0	0	0	0	0	0	0.147751479	0	-0.225577168	0	0	0	0	0	0	0	0	0	0	0.409961405	0	0	0
cshumor 	0.05342715	0	0	0	0	0	0	0	0.338523942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.214285709	0	0	0	0	0	0	-0.246352073	0	0.014088036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.231006822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.105280006	0	0	0	0	0	0.533348575	0	0	0
cssmilin 	0	0	0	0	0	0	0	-0.166397356	0	0	0	0	0	0.164047096	0	0	0	0	0	0	0	0	0	-0.490522139	0	0	0	0	0	0	0	0	0.21878126	0	0	0	0	0.155059051	0	0	0	0	0	-0.333330785	0	0	0	0	0	0.287213867	0	-0.130476597	0.377004677	0.376789603	0	-0.022157332	0.130043244	0	0	0	0	0	0	0	-0.346455475	-0.135755523	0	0	0	-0.360917151	0	0	0	0	0.404572082	0	0	0	0	0	0	0	0	0
csquestn 	0	0	0	0	0	0	0	0	0	0	0	0	0	0.369609876	0	-0.357310967	0.235368747	0	0	0	0	0	0	-0.267961323	0	0	0.353324628	0	0	0	0	0	0.643837637	0	0	0	0.172426116	0	0	0	0	0	0	0	0	0	-0.295361548	0	0	0	0	0	0	0.234179193	0	0	0	0	0	0	0	0.128658996	0	0	-0.494576415	-0.151619576	0	0	0	0	0.149988297	0	0.178907471	0	0	0	0	0	0	0	0	0	0	0
csstartn 	0	0	0	0	0	0	0	0	0	-0.303237783	0	0	0	0.286953842	0	0	0.257791206	0	0	0	0	0	0	-0.890997382	0	0	0.366418625	0	0	0	0	-0.320550092	0.515387038	0	0	0	0	0	0	0.161554662	0	0	0	-0.133998584	0	0	0	0	0	0.096525471	0	0	0	0	0	-0.117345364	0.273901336	0	0	0	0	0	0	-0.085427663	-0.495596904	0	0	0.051054186	0	0	0	0.745756505	0	0	0	0	0	0	0	0	0	0	0	0
cspostur 	0	0	0	0	0	0	0	0.22406843	0	0	0	0	0	0.355360916	0	-0.330327156	0	0	0	0	0	0	0	0	-0.33164227	0	0	-0.216282371	0	0	0	0	0.378032651	0	0	0	0	0	0	0.19663803	0	0	0	0	0	0	-0.322768061	0	0	0	0	0	0	0.134980299	-0.065339243	0	0.209173345	0	0.266655779	0	0	-0.242466062	0	0	0	0	0	0	0	0	0	0	0	-0.146706833	0	0	0	0	0	-0.065655674	0.218957168	0	0.04096354	0
